S,Key Comparison
0,1536638
1,1536638
2,1536638
3,1536569
4,1536934
5,1536934
6,1554996
7,1558119
8,1558119
9,1558119
10,1558119
11,1558119
12,1619383
13,1639167
14,1639167
15,1639167
16,1639167
17,1639167
18,1639167
19,1639167
20,1639167
21,1639167
22,1639167
23,1639167
24,1763569
25,1861015
26,1861015
27,1861015
28,1861015
29,1861015
30,1861015
31,1861015
32,1861015
33,1861015
34,1861015
35,1861015
36,1861015
37,1861015
38,1861015
39,1861015
40,1861015
41,1861015
42,1861015
43,1861015
44,1861015
45,1861015
46,1861015
47,1861015
48,1947255
49,2378742
50,2378742
51,2378742
52,2378742
53,2378742
54,2378742
55,2378742
56,2378742
57,2378742
58,2378742
59,2378742
60,2378742
61,2378742
62,2378742
63,2378742
64,2378742
65,2378742
66,2378742
67,2378742
68,2378742
69,2378742
70,2378742
71,2378742
72,2378742
73,2378742
74,2378742
75,2378742
76,2378742
77,2378742
78,2378742
79,2378742
80,2378742
81,2378742
82,2378742
83,2378742
84,2378742
85,2378742
86,2378742
87,2378742
88,2378742
89,2378742
90,2378742
91,2378742
92,2378742
93,2378742
94,2378742
95,2378742
96,2378742
97,2761924
98,3502141
99,3502141
100,3502141
