S,"N = 100,000"
0,0.0015235999989090488
1,0.0015065739990677684
2,0.001328340000472963
3,0.0013044700014870614
4,0.0011400979990139604
5,0.0011343580012908206
6,0.001100507999653928
7,0.0010833420022390782
8,0.0009916539979167283
9,0.0010013879998587072
10,0.000987767998012714
11,0.0010158340004272758
12,0.0009867620014119894
13,0.0010137020028196276
14,0.0009818779991474002
15,0.0010010740015422926
16,0.0009990279976045712
17,0.0009952359978342429
18,0.0009918199974345043
19,0.0009877479984425007
20,0.0010147639986826107
21,0.000995344000402838
22,0.0009733140008756891
23,0.0010003719991073011
24,0.0009801100002368912
25,0.0010041320038726553
26,0.0010050019988557324
27,0.0010053460008930416
28,0.0009925820026546717
29,0.0010114839993184432
30,0.0010233620007056743
31,0.0012868560006609187
32,0.0011360580008476972
33,0.0011004140001023188
34,0.0011999419995117932
35,0.0012566620006691665
36,0.001145856001530774
37,0.0011424820008687675
38,0.0011446040001465007
39,0.0011465620016679167
40,0.0011600400024326517
